countrygroupid,countrygroupname
5200,Americas
5848,Annex I countries
5600,Antarctic Region
5300,Asia
5501,Australia and New Zealand
5206,Caribbean
5857,Caucasus and Central Asia
5204,Central America
5301,Central Asia
5306,Central Asia and Southern Asia
5101,Eastern Africa
5302,Eastern Asia
5829,Eastern Asia (excluding Japan and China)
5825,Eastern Asia (excluding Japan)
5307,Eastern Asia and South-eastern Asia
5401,Eastern Europe
5400,Europe
5707,European Union (27)
9010,High-income economies
5802,Land Locked Developing Countries
5205,Latin America and the Caribbean
5801,Least Developed Countries
5858,Low income economies
5815,Low Income Food Deficit Countries
5859,Lower-middle-income economies
5502,Melanesia
5503,Micronesia
5100,Africa
5102,Middle Africa
5817,Net Food Importing Developing Countries
5849,Non-Annex I countries
336,North and Central America
5103,Northern Africa
429,Northern Africa (excluding Sudan)
5203,Northern America
5208,Northern America and Europe
5402,Northern Europe
5500,Oceania
5807,Oceania excluding Australia and New Zealand
5873,OECD
5504,Polynesia
5803,Small Island Developing States
5207,South America
5304,South-eastern Asia
5104,Southern Africa
5303,Southern Asia
5855,Southern Asia (excluding India)
5403,Southern Europe
420,Sub-Saharan Africa
5810,Sub-Saharan Africa (including Sudan)
9011,Upper-middle-income economies
5105,Western Africa
5305,Western Asia
5828,"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)"
5308,Western Asia and Northern Africa
5404,Western Europe
5000,World
